,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Era
19,Janis Joplin,Pearl (Legacy Edition),Me and Bobby McGee,1IqFh00G2kvvMm8pRMpehA,0.453,0.464,2,-10.96,1,0.0431,5.96e-05,0.152,0.658,93.19,271333,4,60
20,Various Artists,Hit Soul,Son of a Preacher Man,3SMQvRU807fzOwZGagys3n,0.405,0.488,4,-10.784,1,0.0678,0,0.0753,0.806,181.624,148000,4,60
21,Simon & Garfunkel,Bridge Over Troubled Water,The Boxer,76TZCvJ8GitQ2FA1q5dKu0,0.439,0.488,11,-14.464,1,0.0615,0.000339,0.16,0.629,93.017,308520,4,60
22,The Everly Brothers,Definitive Pop: The Everly Brothers,All I Have to Do Is Dream - Single Version; 2006 Remaster,76HnRI6IQX4YHzYTgcM0RV,0.581,0.368,1,-11.264,0,0.0263,0,0.157,0.568,103.716,140373,4,60
23,The Byrds,Mr. Tambourine Man,Mr. Tambourine Man,2HCaIYjkvWSZzaSKUoOh3d,0.456,0.47,2,-9.564,1,0.0294,3.76e-05,0.444,0.639,120.336,149467,4,60
24,Glen Campbell,Wichita Lineman (Remastered),Wichita Lineman - Remastered 2001,6V9VCm1zOY2lGR80RehJ9i,0.192,0.392,5,-11.667,1,0.0328,0.000199,0.248,0.391,172.312,186200,4,60
25,Don McLean,The Best Of Don McLean,American Pie,2QgWuCtBpNIpl5trmKCxRf,0.526,0.509,7,-10.893,1,0.0628,0,0.144,0.497,138.318,515867,4,60
26,The Righteous Brothers,The Very Best Of The Righteous Brothers - Unchained Melody,You've Lost That Lovin' Feelin',5GMw6X6BbCDGO9gApQYRSa,0.366,0.317,1,-13.976,1,0.027,0,0.0865,0.398,94.108,225427,4,60
27,The Beach Boys,Shut Down (Remastered),Don't Worry Baby - Remastered 2001,1GLmaPfulP0BrfijohQpN5,0.487,0.464,4,-9.821,1,0.03,0.00531,0.105,0.851,121.242,169933,4,60
28,Aretha Franklin,Respect - The Very Best of,I Say a Little Prayer,0FD8KMG4pHp0O9clTpChjp,0.59,0.355,9,-14.051,1,0.0352,0,0.0585,0.499,133.03,216773,4,60
29,Andy Williams,Moon River And Other Great Movie Themes,"Moon River (From ""Breakfast at Tiffany's"")",24AIahNHzBxm9S12peXbnG,0.281,0.212,6,-15.513,1,0.031,7.73e-05,0.119,0.195,95.555,162893,3,60
30,Joni Mitchell,Clouds,Both Sides Now,3NW1YMA8kfNVTzGJCGBS8m,0.623,0.156,6,-15.098,1,0.0308,0,0.141,0.329,97.235,274560,4,60
31,Lulu,To Sir With Love,To Sir with Love,0gBFr7N2D1GfhkXIIepIGG,0.546,0.399,4,-9.378,1,0.027,3.18e-06,0.0995,0.301,97.142,166693,4,60
32,Four Tops,Gold (International Version),"I Can't Help Myself (Sugar Pie, Honey Bunch)",6DfAdJWkHIRUiYsuYoAfim,0.703,0.563,0,-9.99,1,0.0294,0,0.0933,0.972,127.004,160533,4,60
